checkpoint,effective_rank,effective_rank_error,mean_gram_distance,mean_gram_distance_error
1499,4.224423885345459,0.5913804173469543,23.549686431884766,3.887793779373169
1999,4.353309631347656,0.6112722158432007,26.925518035888672,3.0175068378448486
2499,4.503332614898682,0.6410314440727234,27.362573623657227,3.7540411949157715
2999,4.505459308624268,0.6409627795219421,29.295726776123047,4.0835771560668945
3499,4.679996490478516,0.6785280108451843,23.16497230529785,4.389342308044434
3999,4.650496959686279,0.6727599501609802,22.399227142333984,1.9069621562957764
4499,4.654998779296875,0.6730811595916748,34.41432571411133,4.71616792678833
4999,4.720928192138672,0.6849417090415955,32.39821243286133,5.68637752532959
5499,4.725317001342773,0.6869648098945618,19.180622100830078,4.5860595703125
5999,4.735108375549316,0.6896421909332275,15.945457458496094,1.2892203330993652
6499,4.773471832275391,0.6981818675994873,21.584667205810547,0.31677520275115967
6999,4.782722473144531,0.7004407048225403,30.982440948486328,3.166539192199707
7499,4.788061141967773,0.7015752792358398,34.15624237060547,4.9972615242004395
7999,4.791191577911377,0.7025720477104187,36.297645568847656,6.004593849182129
8499,4.789072036743164,0.7023574709892273,37.92381286621094,5.345930576324463
8999,4.783374309539795,0.701194167137146,39.58056640625,4.613984107971191
9499,4.7802886962890625,0.7002918124198914,41.03650665283203,3.880065441131592
9999,4.776680946350098,0.6993037462234497,42.250099182128906,3.8090317249298096
10499,4.774705410003662,0.6987119317054749,42.88065719604492,3.62734317779541
10999,4.771759986877441,0.6979303359985352,43.498748779296875,3.4568238258361816
