checkpoint,effective_rank,effective_rank_error,mean_gram_distance,mean_gram_distance_error
1499,4.038254261016846,0.5418227314949036,90.00157165527344,10.334391593933105
1999,4.057153224945068,0.5472460985183716,94.23944854736328,8.227081298828125
2499,4.211314678192139,0.5768413543701172,92.46967315673828,9.546945571899414
2999,4.18225622177124,0.5712735056877136,94.84732818603516,10.283075332641602
3499,4.329205513000488,0.5995801091194153,80.85731506347656,13.644865036010742
3999,4.365074634552002,0.6064404249191284,78.92304229736328,6.618829250335693
4499,4.370750427246094,0.6071599125862122,94.62602233886719,9.73139476776123
4999,4.417506217956543,0.6156356334686279,91.95182037353516,10.336338996887207
5499,4.424586296081543,0.6170875430107117,80.32637023925781,11.568110466003418
5999,4.447403907775879,0.6215065717697144,75.79569244384766,7.446873188018799
6499,4.50506591796875,0.6331456899642944,70.60123443603516,9.344236373901367
6999,4.544855117797852,0.6414853930473328,67.75666809082031,9.733644485473633
7499,4.576274871826172,0.648175060749054,66.04471588134766,10.221604347229004
7999,4.601617813110352,0.6535587310791016,65.11235046386719,11.144765853881836
8499,4.605970859527588,0.6543382406234741,63.92131805419922,11.513833045959473
8999,4.614475250244141,0.6563220620155334,62.87511444091797,11.762758255004883
9499,4.614572525024414,0.6563554406166077,62.0665283203125,12.04233169555664
9999,4.607524871826172,0.6548794507980347,61.855064392089844,12.340839385986328
10499,4.604306697845459,0.6541979312896729,61.774078369140625,12.459918975830078
10999,4.598074436187744,0.65283203125,61.69184494018555,12.578804969787598
