checkpoint,index,iteration,metric,spatial_distance,value,error
1499,0,1499,cls_effective_rank,,11.392701148986816,0.7414500117301941
1499,0,1499,patch_effective_rank,,72.44621276855469,8.098237991333008
1499,0,1499,mean_off_diagonal_similarity,,0.8343483209609985,0.014745642431080341
1499,0,1499,spatial_specificity_correlation,,-0.372391939163208,0.054592061787843704
1499,0,1499,spatial_specificity,1.0,0.9673153162002563,0.0033858937676995993
1499,0,1499,spatial_specificity,1.4142135381698608,0.9553061723709106,0.003963981755077839
1499,0,1499,spatial_specificity,2.0,0.9431753158569336,0.004459144547581673
1499,0,1499,spatial_specificity,2.2360680103302,0.937238335609436,0.004699847660958767
1499,0,1499,spatial_specificity,2.8284270763397217,0.9253800511360168,0.005782182328402996
1499,0,1499,spatial_specificity,3.0,0.9246950149536133,0.004892888944596052
1499,0,1499,spatial_specificity,3.1622776985168457,0.9210936427116394,0.005227714776992798
1499,0,1499,spatial_specificity,3.605551242828369,0.9134485125541687,0.006553584709763527
1499,0,1499,spatial_specificity,4.0,0.910035252571106,0.005801311694085598
1499,0,1499,spatial_specificity,4.123105525970459,0.9073866009712219,0.006119392346590757
1499,0,1499,spatial_specificity,4.242640495300293,0.9038721323013306,0.007891231216490269
1499,0,1499,spatial_specificity,4.4721360206604,0.9016937017440796,0.007303414400666952
1499,0,1499,spatial_specificity,5.0,0.8948674201965332,0.008006115444004536
1499,0,1499,spatial_specificity,5.099019527435303,0.8949981927871704,0.007311459630727768
1499,0,1499,spatial_specificity,5.385164737701416,0.8903604745864868,0.008067270740866661
1499,0,1499,spatial_specificity,5.656854152679443,0.8849660754203796,0.009741867892444134
1499,0,1499,spatial_specificity,5.830952167510986,0.8836020231246948,0.009284669533371925
1499,0,1499,spatial_specificity,6.0,0.8862560987472534,0.007635914720594883
1499,0,1499,spatial_specificity,6.082762241363525,0.884261965751648,0.008220074698328972
1499,0,1499,spatial_specificity,6.324555397033691,0.8801970481872559,0.008914884179830551
1499,0,1499,spatial_specificity,6.4031243324279785,0.8758975267410278,0.010308497585356236
