checkpoint,effective_rank,effective_rank_error,mean_gram_distance,mean_gram_distance_error
499,122.56873321533203,2.8724727630615234,22.507280349731445,3.8912765979766846
999,95.4618148803711,2.1168947219848633,13.029462814331055,3.503939151763916
1499,89.5487289428711,1.972999095916748,24.586267471313477,4.076650619506836
1999,101.77369689941406,2.2548182010650635,42.34535598754883,5.073069095611572
2499,105.22618865966797,2.297358989715576,40.36225891113281,6.343610763549805
2999,105.831787109375,2.377720832824707,41.594364166259766,5.467672824859619
3499,106.92628479003906,2.3740170001983643,43.79525375366211,5.507429122924805
3999,105.64820861816406,2.3157835006713867,43.624637603759766,6.274163246154785
4499,104.87264251708984,2.3099961280822754,44.70756530761719,6.082544326782227
4999,104.9858169555664,2.3285505771636963,41.000328063964844,5.429957389831543
5499,102.53549194335938,2.257892370223999,41.448516845703125,5.879967212677002
5999,100.76033782958984,2.205522298812866,42.53879928588867,5.828186988830566
6499,100.37674713134766,2.1862950325012207,41.119651794433594,5.763143539428711
6999,100.35861206054688,2.1826400756835938,39.39997863769531,5.9521050453186035
7499,100.01664733886719,2.1727113723754883,35.76649475097656,5.922359943389893
7999,99.63370513916016,2.165297031402588,30.334821701049805,5.684707164764404
8499,99.49806213378906,2.1644835472106934,25.0400333404541,5.232913494110107
8999,99.30226135253906,2.1613922119140625,22.25696563720703,4.694685935974121
9499,99.1138916015625,2.156949996948242,20.629941940307617,4.28894567489624
9999,98.963623046875,2.153614044189453,19.808494567871094,4.048593521118164
