checkpoint,index,metric,spatial_distance,value,error
1499,0,cls_effective_rank,,13.779254913330078,0.9329776167869568
1499,0,patch_effective_rank,,41.05878448486328,4.229992866516113
1499,0,mean_off_diagonal_similarity,,0.7860226035118103,0.016875009983778
1499,0,spatial_specificity,1.0,0.9383758306503296,0.007916136644780636
1499,0,spatial_specificity,1.4142135381698608,0.9090369343757629,0.011495864018797874
1499,0,spatial_specificity,2.0,0.8857380151748657,0.012744687497615814
1499,0,spatial_specificity,2.2360680103302,0.8664664030075073,0.014982013031840324
1499,0,spatial_specificity,2.8284270763397217,0.8349791765213013,0.01902393065392971
1499,0,spatial_specificity,3.0,0.8489198684692383,0.01441806461662054
1499,0,spatial_specificity,3.1622776985168457,0.8319953680038452,0.01676967181265354
1499,0,spatial_specificity,3.605551242828369,0.8069674372673035,0.021175436675548553
1499,0,spatial_specificity,4.0,0.8217483758926392,0.019085489213466644
1499,0,spatial_specificity,4.123105525970459,0.8059539794921875,0.02044103480875492
1499,0,spatial_specificity,4.242640495300293,0.7858037352561951,0.023559875786304474
1499,0,spatial_specificity,4.4721360206604,0.7858718633651733,0.02385348454117775
1499,0,spatial_specificity,5.0,0.782309889793396,0.023861024528741837
1499,0,spatial_specificity,5.099019527435303,0.7885531187057495,0.02094835229218006
1499,0,spatial_specificity,5.385164737701416,0.7703458070755005,0.02446327917277813
1499,0,spatial_specificity,5.656854152679443,0.7560843229293823,0.028106089681386948
1499,0,spatial_specificity,5.830952167510986,0.7555448412895203,0.026681702584028244
1499,0,spatial_specificity,6.0,0.7929704189300537,0.01837898977100849
1499,0,spatial_specificity,6.082762241363525,0.7788741588592529,0.019066574051976204
1499,0,spatial_specificity,6.324555397033691,0.76035475730896,0.021869398653507233
1499,0,spatial_specificity,6.4031243324279785,0.7421361207962036,0.028049619868397713
1499,0,spatial_specificity,6.7082037925720215,0.7449243068695068,0.023607103154063225
1499,0,spatial_specificity,7.0,0.792361855506897,0.01752556674182415
1499,0,spatial_specificity,7.071067810058594,0.762188732624054,0.02137632481753826
1499,0,spatial_specificity,7.211102485656738,0.7321776151657104,0.025597842410206795
1499,0,spatial_specificity,7.280109882354736,0.7575892210006714,0.019641198217868805
1499,0,spatial_specificity,7.6157732009887695,0.7412376403808594,0.0215164665132761
1499,0,spatial_specificity,7.8102498054504395,0.7196792364120483,0.028108658269047737
1499,0,spatial_specificity,8.0,0.7954858541488647,0.016280585899949074
1499,0,spatial_specificity,8.062257766723633,0.7555748820304871,0.01973489485681057
1499,0,spatial_specificity,8.246211051940918,0.7602999210357666,0.01806267350912094
1499,0,spatial_specificity,8.485280990600586,0.7092599272727966,0.027163714170455933
1499,0,spatial_specificity,8.5440034866333,0.7421282529830933,0.01991388574242592
1499,0,spatial_specificity,8.602325439453125,0.7149279117584229,0.02499455399811268
1499,0,spatial_specificity,8.9442720413208,0.7275599837303162,0.021693183109164238
1499,0,spatial_specificity,9.0,0.8054171800613403,0.01601480506360531
1499,0,spatial_specificity,9.05538558959961,0.7886333465576172,0.01677289418876171
1499,0,spatial_specificity,9.219544410705566,0.7370210886001587,0.020416952669620514
1499,0,spatial_specificity,9.433980941772461,0.7154272198677063,0.023036785423755646
1499,0,spatial_specificity,9.486832618713379,0.747005820274353,0.019372563809156418
1499,0,spatial_specificity,9.848857879638672,0.731667697429657,0.020387619733810425
1499,0,spatial_specificity,9.899495124816895,0.7009629607200623,0.023709401488304138
1499,0,spatial_specificity,10.0,0.7481757402420044,0.019899053499102592
1499,0,spatial_specificity,10.049875259399414,0.8051708340644836,0.017584102228283882
1499,0,spatial_specificity,10.198039054870605,0.7832552194595337,0.017539726570248604
1499,0,spatial_specificity,10.29563045501709,0.7193285822868347,0.02118614688515663
1499,0,spatial_specificity,10.440306663513184,0.7607896327972412,0.017978740856051445
1499,0,spatial_specificity,10.630146026611328,0.7035761475563049,0.022898338735103607
1499,0,spatial_specificity,10.770329475402832,0.7423956990242004,0.01897699199616909
1499,0,spatial_specificity,10.816654205322266,0.7107198238372803,0.020652474835515022
1499,0,spatial_specificity,11.0,0.8527069091796875,0.017316970974206924
1499,0,spatial_specificity,11.045360565185547,0.837887167930603,0.01876668818295002
1499,0,spatial_specificity,11.180339813232422,0.7729479670524597,0.018704771995544434
1499,0,spatial_specificity,11.313708305358887,0.7081154584884644,0.02178557589650154
1499,0,spatial_specificity,11.401754379272461,0.7506905794143677,0.018460500985383987
1499,0,spatial_specificity,11.661904335021973,0.7244584560394287,0.01944713294506073
1499,0,spatial_specificity,11.704700469970703,0.7726775407791138,0.021475084125995636
1499,0,spatial_specificity,12.0,0.895116925239563,0.017805248498916626
1499,0,spatial_specificity,12.041594505310059,0.7977477312088013,0.01704910397529602
1499,0,spatial_specificity,12.083045959472656,0.7616336345672607,0.022651750594377518
